gugun,dong,population,movein,moveout,oneperson,twoperson,threeperson,fourperson,fiveperson,sixperson,sevenperson,eightperson,nineperson,tenperson
영등포구,대림2동,19776,1934,2284,3937,1538,810,473,118,34,11,3,-,-
영등포구,대림3동,26973,2704,3592,4159,2558,1857,1390,339,72,23,2,2,-
영등포구,영등포본동,23790,3240,3714,4822,2123,1642,1337,299,47,11,3,1,1
영등포구,영등포동,28749,8641,6973,14467,2370,1376,959,189,41,6,2,-,2
영등포구,도림동,20665,3016,3453,4684,2123,1331,909,210,42,11,5,1,-
영등포구,문래동,33399,5988,4696,3927,3069,2883,2649,537,108,25,4,2,2
영등포구,문래동,33399,5988,4696,3927,3069,2883,2649,537,108,25,4,2,2
동작구,노량진2동,13512,2342,2404,4720,1466,791,476,114,27,5,-,-,-
동작구,상도1동,46840,7521,8184,10027,4103,3546,2934,588,121,32,8,1,3
동작구,상도2동,28162,4219,5311,5137,2786,2293,2051,404,88,22,4,1,-
동작구,상도3동,25416,3785,4347,5441,2690,1950,1447,309,84,20,7,3,2
동작구,상도4동,29306,4033,4593,6252,3164,2311,1698,387,67,14,2,-,2
동작구,사당1동,23632,4810,5128,7915,2646,1447,986,202,50,7,5,1,-
