gugun,dong,oneperson,twoperson,threeperson,fourperson,fiveperson,sixperson,sevenperson,eightperson,nineperson,tenperson
영등포구,양평2동,4386,2333,1776,1474,295,64,13,2,-,1
영등포구,신길1동,6534,1853,1039,702,168,33,4,1,-,-
영등포구,신길3동,3037,1749,1418,1096,252,31,11,2,1,-
영등포구,신길4동,2283,1341,1041,785,172,23,7,1,-,-
영등포구,신길5동,1933,1178,873,673,179,23,9,1,-,4
영등포구,신길6동,4018,1975,1449,1203,270,50,20,8,-,5
영등포구,신길7동,2220,1719,1683,1722,370,63,15,5,3,-
영등포구,대림1동,3270,1699,1114,884,180,39,12,1,-,2
영등포구,대림2동,3937,1538,810,473,118,34,11,3,-,-
영등포구,대림3동,4159,2558,1857,1390,339,72,23,2,2,-
영등포구,영등포본동,4822,2123,1642,1337,299,47,11,3,1,1
영등포구,영등포동,14467,2370,1376,959,189,41,6,2,-,2
영등포구,도림동,4684,2123,1331,909,210,42,11,5,1,-
영등포구,문래동,3927,3069,2883,2649,537,108,25,4,2,2
영등포구,문래동,3927,3069,2883,2649,537,108,25,4,2,2
동작구,노량진2동,4720,1466,791,476,114,27,5,-,-,-
동작구,상도1동,10027,4103,3546,2934,588,121,32,8,1,3
동작구,상도2동,5137,2786,2293,2051,404,88,22,4,1,-
동작구,상도3동,5441,2690,1950,1447,309,84,20,7,3,2
동작구,상도4동,6252,3164,2311,1698,387,67,14,2,-,2
동작구,사당1동,7915,2646,1447,986,202,50,7,5,1,-
동작구,사당3동,3612,2451,2149,1775,384,87,32,10,2,1
동작구,사당4동,3372,1610,1084,810,179,30,10,4,2,-
동작구,사당5동,2558,1588,1261,952,198,34,9,-,1,2
동작구,대방동,7240,3347,2881,2905,646,120,35,5,3,3
동작구,신대방1동,4019,2074,1743,1829,412,88,18,6,2,-
동작구,신대방2동,4437,1764,1444,1318,341,75,20,6,-,-
동작구,흑석동,5376,3078,2716,2244,471,99,22,6,-,-
동작구,노량진1동,7669,3280,2389,1876,450,85,22,6,1,1
동작구,사당2동,4350,3011,2368,1680,414,96,15,4,5,-
동작구,사당2동,4350,3011,2368,1680,414,96,15,4,5,-
관악구,보라매동,6408,2762,1742,1281,303,63,14,1,4,1
관악구,청림동,2037,1688,1406,1050,215,51,9,6,-,1
관악구,행운동,10995,2967,1710,1237,297,82,10,4,-,-
관악구,낙성대동,7916,1542,805,600,154,38,6,3,-,2
관악구,중앙동,6574,1567,781,576,126,23,6,1,1,1
관악구,인헌동,8068,2724,1718,1302,312,55,24,3,-,1
관악구,남현동,5037,1950,1301,918,218,54,15,5,1,3
관악구,서원동,9207,2561,1289,773,195,51,9,2,-,-
관악구,신원동,6756,2079,1107,697,149,42,5,1,3,1
관악구,서림동,9681,2329,1275,922,233,49,19,3,1,2
관악구,신사동,8872,2315,1329,950,193,40,10,4,-,-
관악구,신림동,14472,1860,598,317,83,15,4,1,-,1
관악구,난향동,1904,1570,1265,1166,290,63,22,3,1,2
관악구,조원동,6932,1843,945,697,171,26,13,1,1,-
관악구,대학동,12262,1893,1126,739,188,42,7,2,-,-
관악구,은천동,7238,3557,2478,2107,498,117,25,8,1,1
관악구,성현동,4084,2974,2471,2268,504,91,22,7,4,1
관악구,청룡동,15980,3164,1789,1336,329,61,16,6,-,1
관악구,난곡동,5605,3266,2154,1552,365,80,19,5,1,1
관악구,삼성동,4594,2682,1797,1340,349,72,21,2,-,3
관악구,미성동,5874,3330,2427,1973,502,95,29,5,-,1
관악구,미성동,5874,3330,2427,1973,502,95,29,5,-,1
서초구,서초1동,3960,1812,1578,1419,378,111,25,7,-,2
서초구,서초2동,4176,1863,1698,1664,350,77,18,7,3,1
서초구,서초3동,6493,2969,2406,2133,520,145,45,12,4,3
서초구,서초4동,2332,1928,2646,3234,608,123,37,13,3,1
서초구,잠원동,3801,1983,2375,2403,475,103,26,12,2,2
서초구,반포본동,691,879,932,1175,222,48,10,2,3,1
서초구,반포1동,6358,2210,2335,2564,589,124,24,15,7,1
서초구,반포2동,629,880,1291,1700,426,79,18,5,4,2
서초구,반포3동,1374,1561,2100,2153,431,78,30,9,3,1
서초구,반포4동,1797,1545,1756,1548,399,102,21,8,4,1
서초구,방배본동,2271,1587,1734,1805,433,110,29,7,3,3
서초구,방배1동,2933,1759,1359,1154,265,62,19,5,2,3
서초구,방배2동,3044,2189,1546,1383,306,69,24,7,1,5
서초구,방배3동,2230,1887,1816,1628,350,84,30,5,3,3
서초구,방배4동,3416,2066,1801,1884,443,112,24,10,-,1
서초구,양재1동,6141,4087,3407,3102,973,238,69,17,1,2
서초구,양재2동,5153,2270,1570,1326,355,87,18,11,2,1
서초구,내곡동,2222,1894,1532,1213,330,88,16,11,2,2
서초구,내곡동,2222,1894,1532,1213,330,88,16,11,2,2
강남구,신사동,2824,1575,1263,1151,258,81,21,6,4,1
강남구,논현1동,9623,2416,1170,756,220,63,23,5,1,3
강남구,논현2동,6445,2140,1532,1144,235,66,16,6,-,-
강남구,삼성1동,2074,1188,995,955,259,68,20,7,2,1
강남구,삼성2동,5744,2316,2274,2324,467,102,38,7,2,2
강남구,대치1동,588,984,1955,3016,621,113,25,6,6,1
강남구,대치4동,5473,1680,1337,1296,286,78,17,3,2,-
강남구,역삼1동,17310,3471,1600,1078,279,77,26,5,6,1
강남구,역삼2동,6481,2321,2797,3186,570,117,28,11,6,3
강남구,도곡1동,2709,1636,1849,1941,365,90,17,10,5,1
강남구,도곡2동,2200,2407,3001,3321,674,135,30,7,1,2
강남구,개포1동,776,615,504,533,121,30,10,3,1,-
강남구,개포4동,3419,2174,1993,1835,387,65,23,5,3,2
강남구,일원본동,1471,1620,2012,2455,435,82,18,5,1,1
강남구,일원1동,3309,1783,1186,867,241,50,8,3,-,-
강남구,일원2동,2357,1852,1589,1370,260,42,6,2,-,1
강남구,수서동,3527,2333,1111,605,162,31,5,9,-,-
강남구,세곡동,6069,4009,3242,3247,1032,239,61,11,7,-
강남구,압구정동,2894,2432,2372,2129,479,138,28,6,4,1
강남구,청담동,4610,2379,2160,1877,459,108,38,11,6,3
강남구,대치2동,2606,2320,3128,3851,735,127,26,8,4,-
강남구,개포2동,1620,1855,2075,2044,354,78,15,3,1,-
강남구,개포2동,1620,1855,2075,2044,354,78,15,3,1,-
송파구,풍납1동,2454,1578,1063,873,172,44,11,4,-,-
송파구,풍납2동,4252,2358,2205,1797,366,95,21,5,-,-
송파구,거여1동,2061,1418,1027,866,198,37,14,1,1,-
송파구,거여2동,2722,2152,1634,1285,274,60,10,3,1,2
송파구,마천1동,3613,2134,1531,1146,345,75,11,3,-,-
송파구,마천2동,3430,2202,1569,1150,292,72,12,5,1,2
송파구,방이1동,1922,1255,1306,1388,291,83,14,3,3,-
송파구,방이2동,8570,2807,1745,1212,262,70,12,2,1,1
송파구,오륜동,683,1195,1596,1976,399,55,25,7,-,2
송파구,오금동,4539,3762,3470,2985,664,177,28,3,3,1
